Course,Name,Description,Prerequisites,Lab,Hours,Focus,Semester,ClassSize,CatLink,RegLink
GEOG 222,Introduction to Maps and GIS,"Introduces techniques and fundamentals of spatial data and analysis. Topics include: scale, map interpretation, GPS and Geographic Information Systems.",Minimum second-year standing,Lab,2-2-0,Geomatics,Fall Spring,132 / 110,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/rJcMHu67V?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG222%20-%20Introduction%20to%20Maps%20and%20GIS&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=222
GEOG 226,Introduction to Quantitative Methods in Geography,"Application of statistical techniques to geographic problems. Topics include hypothesis formulation, sampling strategies, parametric and nonparametric statistical tests, statistical models. All laboratory exercises are computer based.","Complete 1 of the following: Complete 3 units from GEOG  100 - 299; Complete 3 units from EOS  100 - 299; Credit granted for only one of GEOG 226, GEOG 321",Lab,2-3-0,Environment Physical,Fall Spring,80,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/rJifB_aXE?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG226%20-%20Introduction%20to%20Quantitative%20Methods%20in%20Geography&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=226
GEOG 227,Introduction to Qualitative Methods in Geography,"Introduces the main qualitative methodological approaches applied in human geography. A range of paradigms (ethnography, action research, the scientific method, Marxism and feminism), research design, data collection tools (survey and questionnaire design, focus groups, interviews, diagraming, participant observation, photo voice, participatory video), data analysis (narrative analysis, coding, data interpretation, thematic and interpretive analyses) and examine Indigenous Methodologies and apply to current issues in the discipline.","Minimum second-year standing; Credit granted for only one of GEOG 227, GEOG 327; formerly GEOG 327",Lab,2-2-0,??,Fall,44,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/rkE1gCFsS?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG227%20-%20Introduction%20to%20Qualitative%20Methods%20in%20Geography&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=227
GEOG 228,Introduction to Remote Sensing,"Introduces the use of remotely sensed images to address information issues related to both physical and human geography. Students are exposed to a range of image types and resolutions, as well as methods and tools used for their analysis.",Minimum second-year standing,Lab,2-2-0,Geomatics,Fall,88,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/HkjGruTXE?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG228%20-%20Introduction%20to%20Remote%20Sensing&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=228
GEOG 230,Scientific Computing and Environmental Data Analysis ,"An introduction to using computer programming to analyze climate data. Topics include fundamentals of programming, data visualization, analysis of spatial data, descriptive statistics, linear regression.","Complete all of the following: Complete 1.5 units of: 100 level MATH; Complete 1 of: EOS110, EOS130, GEOG130. or permission of the department; Cross-listed with EOS 230; Credit granted for only one of GEOG 230, EOS 230; ",Tutorial,3-0-2,Physical,??,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/rJW5SdLRP?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG230%20-%20Scientific%20Computing%20and%20Environmental%20Data%20Analysis%20&bcGroup=Geography%20(GEOG)&bcItemType=courses,
GEOG 252,Introduction to Coastal Geography,"Explores a wide variety of coastal topics from biophysical, ecological, and social-economic perspectives. Topics focus on coastal landscapes and communities that may include fundamentals of coastal oceanography, climate, biodiversity, water quality, fisheries, indigenous people, tourism and implications for management.","Minimum second-year standing; Credit granted for only one of GEOG 252, GEOG 352; Formerly GEOG 352",,3-0-0,??,Fall,70,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/B1hfHOTXN?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG252%20-%20Introduction%20to%20Coastal%20Geography&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=252
GEOG 272,Introduction to Climatology and Hydrology,An investigation of the fundmental processes controlling climate and hydrology. Explores various factors and interactions that determine the spatial and temporal variations of individual climate elements. Special attention is given to the mutual interaction of climate with the Earth's surface and the role that ground surface type or cover plays in moderating local climate and hydrology.,"Complete 1 of: GEOG 103k GEOG119, EOS110",Lab,3-2-0,Physical,Fall,88,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/HJe2GH_67E?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG272%20-%20Introduction%20to%20Climatology%20and%20Hydrology&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=272
GEOG 274,Introduction to Biogeography,"Examines the relationships among organisms - principally plants and animals - and their environment, emphasizing their distributions across a range of spatial and temporal scales. Examines basic ecological and evolutionary concepts affecting biogeographic processes of dispersal, speciation and extinction; how patterns of biodiversity change over space and time from early earth history to the contemporary environment; the nature of changing biotic distributions with increasing human impacts and global change.","GEOG 101A, GEOG 103; BIOL 12, or BIOL 150B recommended",Lab,3-2-0,Environment Physical,Spring,88,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/SJ3GSdamV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG274%20-%20Introduction%20to%20Biogeography&bcGroup=Geography%20(GEOG)&bcItemType=courses,"Examines the relationships among organisms - principally plants and animals - and their environment, emphasizing their distributions across a range of spatial and temporal scales. Examines basic ecological and evolutionary concepts affecting biogeographic processes of dispersal, speciation and extinction; how patterns of biodiversity change over space and time from early earth history to the contemporary environment; the nature of changing biotic distributions with increasing human impacts and global change."
GEOG 276,Introduction to Geomorphology,"Introduction to Earth surface process and landforms including riverine, desert, coastal, glacial, hillslope and permafrost environments. Focus on regional and Canadian landscapes. Involves a field trip.","Complete 1 of: GEOG 103, GEOG 120, EOS 120",Lab,3-2-0,Physical,Fall Spring,92,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/HyazrO6mV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG276%20-%20Introduction%20to%20Geomorphology&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=276
GEOG 301,Environmental Impact Assessment,"An introduction to the objectives, philosophy, concepts, methods and social implications of environmental impact assessment (EIA). A critical examination of EIA as an analytical tool in the context of resource management and public policy is undertaken. Examples are drawn from B.C., Canada and other countries.","GEOG 209; Cross-listed with ES461; Credit granted for only one of GEOG 301, GEOG 391 (if taken in the same topic), ES 400A (if taken prior to September 1989), ES 410, ES 461",,3-0-0,Environment,Fall Spring,45,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/HkCfrdp7E?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG301%20-%20Environmental%20Impact%20Assessment&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=301
GEOG 303,Conservation and Ecology of Whales,"Examines the fundamental biology, evolution and ecology of the modern whale species. Discusses the history and the spectrum of the human relationships with whales. Current topics in the marine mammal sphere are critically examined.","Complet 1 of: GEOG 274, BIOL 150A, BIOL 184, BIOL 190B; Credit granted for only one of GEOG 303, GEOG 391 (if taken in the same topic).",,3-0-0,Environment,Fall,90,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/H1AGHOpmE?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG303%20-%20Conservation%20and%20Ecology%20of%20Whales&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=303
GEOG 304,Coastal Conservation,"Examines the natural science and social science dimensions of conservation on the remote and largely undeveloped central and north coast of British Columbia. Students explore current issues with relevant theory, thus uniting contemporary affairs with scholarship. Major themes are energy development and exploitation of biological resources (like fish and wildlife), but specific themes might change among years. Students learn from western scientific approaches, First Nations perspectives, and their interaction.","Complete 1 of: GEOG 252, GEOG 352; Credit granted for only one of GEOG 304, GEOG 391(if taken in the same topic). ",,3-0-0,Environment,??,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/HJ1XrupQ4?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG304%20-%20Coastal%20Conservation&bcGroup=Geography%20(GEOG)&bcItemType=courses,
GEOG 306,Geography of Canada,"Explores the physical, historical, cultural, and political geography of Canada. Topics may include: human / environment relationships; settlement and development patterns; colonialism and Indigenous resurgence; national identity and conflict; and current issues in the Canadian context.",Minimum second-year standing,,3-0-0,Elective,Fall Spring,65,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/SygXS_TmV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG306%20-%20Geography%20of%20Canada&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=306
GEOG 309,Geography of British Columbia,"An examination of the physical, economic, and cultural landscapes that distinguish the cities and rural regions of Canada's West Coast province.","Minimum second-year standing, Credit will be granted for only one of GEOG 309, GEOG 219; Formerly GEOG 219",,3-0-0,Elective,Fall,60,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/BJ-XrdpmN?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG309%20-%20Geography%20of%20British%20Columbia&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=309
GEOG 310,Global Migration,"Contemporary issues relating to the patterns, processes, and politics of global migration. Theories, concepts and themes associated with cross-border migratory flows are explored as they relate to the increase in global migration and mobility of people of different nationalities and cultural backgrounds around the world. Topics include border control and security, demographic patterns of movement relating to refugees and internally-displaced persons, human smuggling and trafficking.","Minimum second-year standing; Credit granted for only one of GEOG 310, GEOG 391 (if taken in the same topic)",,3-0-0,Human,Fall,50,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/By2XhC_5H?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG310%20-%20Global%20Migration&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=310
GEOG 313,Field Studies in Mountain Meteorology,"An immersive opportunity to understand the physical processes of meteorological phenomena in mountain environments. Measuring and monitoring of snowpack, extreme weather and climate and their associated hazards in mountain ranges are prominent course themes. A field trip fee may be applied.",GEOG 272,,3-0-0,Physical,Spring,16,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/SkagBJc5S?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG313%20-%20Field%20Studies%20in%20Mountain%20Meteorology&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=313
GEOG 314,Global Environment Change and Human Response,"Based on four components: global environmental change; sustainable development; biodiversity; and population impoverishment and environmental degradation. Lectures and discussion emphasize the causes of global change, the present and expected impacts on natural and social systems, and response strategies that have been proposed or enacted.","Minimum second-year standing; Credit granted for only one of GEOG 314, GEOG 214 (if taken prior to December 2006).",,3-0-0,Environment,Fall,75,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/ryGXHuTm4?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG314%20-%20Global%20Environment%20Change%20and%20Human%20Response&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=314
GEOG 315,Geocaching,"Introduces the activity of geocaching, the fundamentals of GPS navigation and data collection. Emphasis is placed on geocaching, the history and workings of GPS and associated navigation systems, map datums and coordinate systems and basics of GPS data management. Hands-on operating and working with GPS units in the field, through a variety of geocaching activities and assignments. Examples of the use of GPS in geographical research is demonstrated through lectures and readings.","Minimum third-year standing; Credit granted for only one of GEOG 315, GEOG 391 (if taken in the same topic).",,3-0-0,Elective,??,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/SkMmHOamV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG315%20-%20Geocaching&bcGroup=Geography%20(GEOG)&bcItemType=courses,
GEOG 316,Field Studies in Human Geography,"Explores concepts and concerns of human geography including personal, cultural and political considerations of space, place and society through practical, experiential learning. A field trip fee may be applied.","Complete all of: GEOG 101A, GEOG 101B; Complete 1 of: GEOG 209, GEOG 211, GEOG 218; Credit granted for only one of GEOG 316, GEOG 391 (if taken in the same topic); May be taken more than once for credit in different topics with permission of the department",,3-0-0,Human,??,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/BJuuvyc5r?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG316%20-%20Field%20Studies%20in%20Human%20Geography&bcGroup=Geography%20(GEOG)&bcItemType=courses,
GEOG 317,Field Studies in Sustainable Communities,"The challenges and opportunities for promoting resilient, inclusive, equitable and sustainable communities are explored through practical and experiential learning. A field trip fee may be applied.","Complete all of: GEOG 101A, GEOG 101B; Complete 1 of: GEOG 209, GEOG 211, GEOG 218, or permission of the department; Credit granted for only one of GEOG 317, GEOG 391 (if taken in the same topic); ",,3-0-0,Human,??,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/BJTUKJcqr?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG317%20-%20Field%20Studies%20in%20Sustainable%20Communities&bcGroup=Geography%20(GEOG)&bcItemType=courses,
GEOG 319,Remote Sensing of the Environment using Passive Sensors,"Focuses on physical principles underlying passive remote sensing and electromagnetic propagation in free space and matter; attenuation, absorption and scattering mechanisms; interaction of energy with the atmosphere and Earth materials such as vegetation, soil, rock, water and urban structures.","Complete all of: GEOG 222, GEOG 228; minimum third-year standing; Complete 1 of the following: Complete all of: GEOG 226, 1.5 units minimum 200 level STAT or equivalent, ",Lab,2-2-0,Geomatics,Fall,44,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/rklMQBupQV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG319%20-%20Remote%20Sensing%20of%20the%20Environment%20using%20Passive%20Sensors&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=319
GEOG 322,Remote Sensing of the Environment using Active Sensors,"Processing and analysis of remote sensing data collected using active sensors – those that transmit their own energy. Data from active microwave sensors, including RADAR and Light Detection and Ranging (LiDAR) sensors, are discussed and analyzed with respect to their applicability as standalone and complementary data sources to remote sensing data acquired using passive systems. Laboratory assignments use image analysis software in a variety of applications.","Complete all of: GEOG 222, GEOG 228; minimum third-year standing; Complete 1 of the following: Complete all of: GEOG 226, 1.5 units minimum 200 level STAT or equivalent, ",Lab,2-2-0,Geomatics,Spring,44,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/HyVXru6XE?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG322%20-%20Remote%20Sensing%20of%20the%20Environment%20using%20Active%20Sensors&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=322
GEOG 323,Cartography,"ntroduces topographic and thematic cartography. Emphasis on cartographic data manipulation, generalization and symbolization; map design, visualization and communication. Laboratory assignments provide practical experience in designing and drafting maps.","Complete all of: GEOG 222; minimum third-year standing; Complete 1 of the following: GEOG 226, 1.5 units minimum 200 level STAT or equivalent",Lab,2-2-0,Geomatics,Fall Spring,44,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/SJeN7r_aXE?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG323%20-%20Cartography&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=323
GEOG 324,Directions in Geography,"An intellectual history of geographical thought, concentrating on trends, ideologies and controversies since 1960. Idiographic, nomothetic, quantitative, behavioural, applied radical, humanistic and recent social theory and GIS approaches are critically discussed in seminars.",4.5 units of 100- or 200-level GEOG courses.,,3-0-0,Elective,Fall,30,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/H1H7Bd6XV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG324%20-%20Directions%20in%20Geography&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=324
GEOG 325,Field Surveying,"An introduction to fundamental concepts of surveying and field work. This is an instrument-based course covering differential leveling, traversing, tachometry, GPS and their applications to field work.","GEOG 222; minimum third-year standing; Complete 1 of the following: GEOG 226, 1.5 units minimum 200 level STAT or equivalent; 1.5 units of GEOG 100-level recommended prior to GEOG 325",Lab,2-3-0,Environment,??,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/HySmBOp74?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG325%20-%20Field%20Surveying&bcGroup=Geography%20(GEOG)&bcItemType=courses,
GEOG 328,GIS Analysis,"Focuses on analysis for digital mapping and modeling, developing and using geographic data to answer spatial research questions, conducting basic spatial interpolations and carrying-out multi-criteria modelling.","GEOG 222, GEOG 228; minimum third-year standing; Complete 1 of the following: GEOG 226, 1.5 units minimum 200 level STAT or equivalent",Lab,2-2-0,Geomatics,Fall Spring,66,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/BkL7SOamV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG328%20-%20GIS%20Analysis&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=328
GEOG 329,GIS Applications and Tools,,"Complete all of: GEOG 222, GEOG 228; ",Lab,2-2-0,Geomatics,,,,
GEOG 332,Urban Development in the Global South,,,,,Human,,,,
GEOG 339,Disaster Management and Community Resilience,,,,,Human,,,,
GEOG 340,Cities and Planning,,,,,Human,,,,
GEOG 346,"Health, Environment and Community",,,,,Human,,,,
GEOG 347B,Geographies of Development,,,,,Human,,,,
GEOG 353,Coastal and Marine Resource Management,,,,,Environment,,,,
